Datetime,B
2019/2/18 0:43,2617
2019/2/19 0:43,2618
2019/2/20 0:43,2619
2019/2/21 0:43,2620
2019/2/22 0:43,2621
2019/2/23 0:43,2622
2019/2/24 0:43,2623
2019/2/25 0:43,2624
2019/2/26 0:43,2625
2019/2/27 0:43,2626
2019/2/28 0:43,2627
2019/3/1 0:43,2628
2019/3/2 0:43,2629
2019/3/3 0:43,2630
2019/3/4 0:43,2631
2019/3/5 0:43,2632
2019/3/6 0:43,2633
2019/3/7 0:43,2634
2019/3/8 0:43,2635
2019/3/9 0:43,2636
2019/3/10 0:43,2637
2019/3/11 0:43,2638
2019/3/12 0:43,2639
2019/3/13 0:43,2640
2019/3/14 0:43,2641
2019/3/15 0:43,2642
2019/3/16 0:43,2643
2019/3/17 0:43,2644
2019/3/18 0:43,2645
