Datetime,B
2019/2/18 0:41,2518
2019/2/19 0:41,2519
2019/2/20 0:41,2520
2019/2/21 0:41,2521
2019/2/22 0:41,2522
2019/2/23 0:41,2523
2019/2/24 0:41,2524
2019/2/25 0:41,2525
2019/2/26 0:41,2526
2019/2/27 0:41,2527
2019/2/28 0:41,2528
2019/3/1 0:41,2529
2019/3/2 0:41,2530
2019/3/3 0:41,2531
2019/3/4 0:41,2532
2019/3/5 0:41,2533
2019/3/6 0:41,2534
2019/3/7 0:41,2535
2019/3/8 0:41,2536
2019/3/9 0:41,2537
2019/3/10 0:41,2538
2019/3/11 0:41,2539
2019/3/12 0:41,2540
2019/3/13 0:41,2541
2019/3/14 0:41,2542
2019/3/15 0:41,2543
2019/3/16 0:41,2544
2019/3/17 0:41,2545
2019/3/18 0:41,2546
