Datetime,B
2019/2/18 0:44,2673
2019/2/19 0:44,2674
2019/2/20 0:44,2675
2019/2/21 0:44,2676
2019/2/22 0:44,2677
2019/2/23 0:44,2678
2019/2/24 0:44,2679
2019/2/25 0:44,2680
2019/2/26 0:44,2681
2019/2/27 0:44,2682
2019/2/28 0:44,2683
2019/3/1 0:44,2684
2019/3/2 0:44,2685
2019/3/3 0:44,2686
2019/3/4 0:44,2687
2019/3/5 0:44,2688
2019/3/6 0:44,2689
2019/3/7 0:44,2690
2019/3/8 0:44,2691
2019/3/9 0:44,2692
2019/3/10 0:44,2693
2019/3/11 0:44,2694
2019/3/12 0:44,2695
2019/3/13 0:44,2696
2019/3/14 0:44,2697
2019/3/15 0:44,2698
2019/3/16 0:44,2699
2019/3/17 0:44,2700
2019/3/18 0:44,2701
