Datetime,B
2019/2/18 0:44,2653
2019/2/19 0:44,2654
2019/2/20 0:44,2655
2019/2/21 0:44,2656
2019/2/22 0:44,2657
2019/2/23 0:44,2658
2019/2/24 0:44,2659
2019/2/25 0:44,2660
2019/2/26 0:44,2661
2019/2/27 0:44,2662
2019/2/28 0:44,2663
2019/3/1 0:44,2664
2019/3/2 0:44,2665
2019/3/3 0:44,2666
2019/3/4 0:44,2667
2019/3/5 0:44,2668
2019/3/6 0:44,2669
2019/3/7 0:44,2670
2019/3/8 0:44,2671
2019/3/9 0:44,2672
2019/3/10 0:44,2673
2019/3/11 0:44,2674
2019/3/12 0:44,2675
2019/3/13 0:44,2676
2019/3/14 0:44,2677
2019/3/15 0:44,2678
2019/3/16 0:44,2679
2019/3/17 0:44,2680
2019/3/18 0:44,2681
